senttime,temperature,humidity,dewPoint,co2,illuminance,stemp,shum
2025-01-01 12:38,29.1,21.1,4.5,449.0,72642.0,0.0,0.0
2025-01-01 12:44,26.9,20.7,2.5,454.0,62748.0,0.0,0.0
2025-01-01 12:50,27.3,18.9,1.5,448.0,65228.0,0.0,0.0
2025-01-01 12:56,27.3,17.5,0.4,442.0,66721.0,0.0,0.0
2025-01-01 13:02,27.5,19.4,2.0,445.0,66643.0,0.0,0.0
2025-01-01 13:08,26.5,18.9,0.9,442.0,64921.0,0.0,0.0
2025-01-01 13:14,25.0,20.0,0.4,447.0,36978.0,0.0,0.0
2025-01-01 13:20,25.9,21.6,2.2,410.0,48788.0,0.0,0.0
2025-01-01 13:26,28.3,19.9,3.1,442.0,46643.0,0.0,0.0
2025-01-01 13:32,29.6,19.0,3.5,447.0,56059.0,0.0,0.0
2025-01-01 13:38,29.8,18.8,3.5,442.0,56268.0,0.0,0.0
2025-01-01 13:44,28.6,20.9,4.0,449.0,56320.0,0.0,0.0
2025-01-01 13:50,29.4,19.5,3.7,447.0,41554.0,0.0,0.0
2025-01-01 13:56,29.3,20.4,4.2,449.0,51737.0,0.0,0.0
2025-01-01 14:02,28.7,20.8,4.0,448.0,49441.0,0.0,0.0
2025-01-01 14:09,27.3,23.1,4.3,447.0,43674.0,0.0,0.0
2025-01-01 14:15,27.3,22.5,4.0,447.0,35000.0,0.0,0.0
2025-01-01 14:21,27.2,22.6,4.0,450.0,37744.0,0.0,0.0
2025-01-01 14:27,27.6,21.8,3.8,449.0,44215.0,0.0,0.0
2025-01-01 14:33,27.0,22.2,3.5,453.0,42762.0,0.0,0.0
2025-01-01 14:39,25.5,23.6,3.1,449.0,39273.0,0.0,0.0
2025-01-01 14:45,25.4,25.3,4.1,444.0,34626.0,0.0,0.0
2025-01-01 14:51,24.2,24.3,2.5,444.0,31720.0,0.0,0.0
2025-01-01 14:57,22.8,27.6,3.1,443.0,23487.0,0.0,0.0
2025-01-01 15:03,24.2,31.8,6.3,442.0,26678.0,0.0,0.0
2025-01-01 15:10,24.9,31.0,6.5,443.0,21763.0,0.0,0.0
2025-01-01 15:15,25.4,33.3,8.0,442.0,17728.0,0.0,0.0
2025-01-01 15:21,24.9,34.7,8.2,440.0,17149.0,0.0,0.0
2025-01-01 15:27,24.5,36.7,8.7,442.0,16549.0,0.0,0.0
2025-01-01 15:33,23.6,39.4,8.9,444.0,11540.0,0.0,0.0
2025-01-01 15:39,22.8,41.8,9.1,443.0,9965.0,0.0,0.0
2025-01-01 15:45,22.0,44.5,9.3,441.0,7710.0,0.0,0.0
2025-01-01 15:51,21.1,46.8,9.2,437.0,5102.0,0.0,0.0
2025-01-01 15:57,19.9,49.4,8.9,439.0,3556.0,0.0,0.0
2025-01-01 16:03,18.9,52.4,8.9,438.0,2462.0,0.0,0.0
2025-01-01 16:09,17.7,55.4,8.6,439.0,1660.0,0.0,0.0
2025-01-01 16:16,16.7,58.0,8.3,438.0,1126.0,0.0,0.0
2025-01-01 16:22,15.9,61.9,8.6,444.0,552.0,0.0,0.0
2025-01-01 16:28,15.5,64.4,8.8,410.0,43.0,0.0,0.0
2025-01-01 16:34,15.6,66.3,9.3,452.0,0.0,0.0,0.0
2025-01-01 16:40,15.8,65.5,9.3,457.0,0.0,0.0,0.0
2025-01-01 16:46,15.9,65.8,9.5,454.0,0.0,0.0,0.0
2025-01-01 16:52,16.1,67.0,9.9,457.0,0.0,0.0,0.0
2025-01-01 16:58,16.1,68.1,10.2,459.0,0.0,0.0,0.0
2025-01-01 17:04,16.1,70.6,10.7,458.0,0.0,0.0,0.0
2025-01-01 17:10,16.1,71.7,10.9,461.0,0.0,0.0,0.0
2025-01-01 17:16,16.1,72.8,11.2,463.0,0.0,0.0,0.0
2025-01-01 17:22,16.0,74.1,11.3,464.0,0.0,0.0,0.0
2025-01-01 17:28,15.9,74.4,11.3,465.0,0.0,0.0,0.0
2025-01-01 17:34,15.9,75.3,11.5,469.0,0.0,0.0,0.0
2025-01-01 17:40,15.9,76.2,11.7,468.0,0.0,0.0,0.0
2025-01-01 17:52,15.8,77.2,11.8,471.0,0.0,0.0,0.0
2025-01-01 17:58,15.7,77.4,11.7,471.0,0.0,0.0,0.0
2025-01-01 18:04,15.7,77.9,11.8,472.0,0.0,0.0,0.0
2025-01-01 18:10,15.6,78.6,11.8,476.0,0.0,0.0,0.0
2025-01-01 18:16,15.6,78.7,11.9,476.0,0.0,0.0,0.0
2025-01-01 18:22,15.5,79.2,11.9,476.0,0.0,0.0,0.0
2025-01-01 18:29,15.5,79.6,11.9,472.0,0.0,0.0,0.0
2025-01-01 18:35,15.4,79.6,11.8,478.0,0.0,0.0,0.0
2025-01-01 18:41,15.3,80.0,11.8,478.0,0.0,0.0,0.0
2025-01-01 18:47,15.3,80.4,11.9,478.0,0.0,0.0,0.0
2025-01-01 18:53,15.2,80.4,11.8,479.0,0.0,0.0,0.0
2025-01-01 18:59,15.2,80.4,11.8,479.0,0.0,0.0,0.0
2025-01-01 19:05,15.2,80.9,11.9,480.0,0.0,0.0,0.0
2025-01-01 19:11,15.1,81.0,11.8,481.0,0.0,0.0,0.0
2025-01-01 19:17,15.0,81.6,11.8,481.0,0.0,0.0,0.0
2025-01-01 19:23,15.0,82.0,11.9,483.0,0.0,0.0,0.0
2025-01-01 19:29,14.9,82.0,11.8,482.0,0.0,0.0,0.0
2025-01-01 19:36,14.9,82.3,11.9,483.0,0.0,0.0,0.0
2025-01-01 19:42,14.8,82.5,11.8,484.0,0.0,0.0,0.0
2025-01-01 19:48,14.7,82.8,11.8,485.0,0.0,0.0,0.0
2025-01-01 19:54,14.7,83.1,11.8,484.0,0.0,0.0,0.0
2025-01-01 20:00,14.7,83.2,11.8,487.0,0.0,0.0,0.0
2025-01-01 20:06,14.6,83.2,11.7,487.0,0.0,0.0,0.0
2025-01-01 20:12,14.6,83.4,11.8,487.0,0.0,0.0,0.0
2025-01-01 20:18,14.5,83.5,11.7,489.0,0.0,0.0,0.0
2025-01-01 20:24,14.5,83.6,11.7,488.0,0.0,0.0,0.0
2025-01-01 20:30,14.4,83.6,11.6,489.0,0.0,0.0,0.0
2025-01-01 20:36,14.4,83.8,11.6,490.0,0.0,0.0,0.0
2025-01-01 20:43,14.4,83.8,11.6,491.0,0.0,0.0,0.0
2025-01-01 20:49,14.3,84.0,11.6,491.0,0.0,0.0,0.0
2025-01-01 20:55,14.3,83.9,11.6,492.0,0.0,0.0,0.0
2025-01-01 21:01,14.2,84.1,11.5,486.0,0.0,0.0,0.0
2025-01-01 21:07,14.2,84.1,11.5,492.0,0.0,0.0,0.0
2025-01-01 21:13,14.2,84.0,11.5,493.0,0.0,0.0,0.0
2025-01-01 21:19,14.1,84.1,11.4,490.0,0.0,0.0,0.0
2025-01-01 21:25,14.1,84.2,11.4,493.0,0.0,0.0,0.0
2025-01-01 21:31,14.0,84.1,11.3,493.0,0.0,0.0,0.0
2025-01-01 21:37,14.0,84.2,11.3,493.0,0.0,0.0,0.0
2025-01-01 21:43,14.0,84.3,11.3,495.0,0.0,0.0,0.0
2025-01-01 21:49,13.9,84.3,11.2,494.0,0.0,0.0,0.0
2025-01-01 21:55,13.9,84.4,11.3,493.0,0.0,0.0,0.0
2025-01-01 22:01,13.9,84.3,11.2,494.0,0.0,0.0,0.0
2025-01-01 22:13,13.8,84.3,11.1,494.0,0.0,0.0,0.0
2025-01-01 22:19,13.8,84.4,11.2,495.0,0.0,0.0,0.0
2025-01-01 22:26,13.7,84.2,11.0,492.0,0.0,0.0,0.0
2025-01-01 22:32,13.7,84.3,11.0,497.0,0.0,0.0,0.0
2025-01-01 22:38,13.6,84.2,10.9,496.0,0.0,0.0,0.0
2025-01-01 22:44,13.6,84.3,10.9,495.0,0.0,0.0,0.0
2025-01-01 22:51,13.5,84.2,10.8,496.0,0.0,0.0,0.0
2025-01-01 22:57,13.5,84.3,10.9,495.0,0.0,0.0,0.0
2025-01-01 23:06,13.4,84.3,10.8,496.0,0.0,0.0,0.0
2025-01-01 23:12,13.4,84.3,10.8,498.0,0.0,0.0,0.0
2025-01-01 23:18,13.4,84.3,10.8,494.0,0.0,0.0,0.0
2025-01-01 23:24,13.3,84.4,10.7,497.0,0.0,0.0,0.0
2025-01-01 23:30,13.3,84.3,10.7,498.0,0.0,0.0,0.0
2025-01-01 23:36,13.2,84.4,10.6,497.0,0.0,0.0,0.0
2025-01-01 23:48,13.2,84.1,10.5,498.0,0.0,0.0,0.0
2025-01-01 23:54,13.1,84.3,10.5,497.0,0.0,0.0,0.0
2025-01-02 00:00,13.1,84.3,10.5,498.0,0.0,0.0,0.0
2025-01-02 00:07,13.1,84.1,10.4,499.0,0.0,0.0,0.0
2025-01-02 00:13,13.0,84.2,10.3,497.0,0.0,0.0,0.0
2025-01-02 00:19,13.0,84.2,10.3,498.0,0.0,0.0,0.0
2025-01-02 00:25,13.0,84.3,10.4,499.0,0.0,0.0,0.0
2025-01-02 00:31,12.9,84.3,10.3,498.0,0.0,0.0,0.0
2025-01-02 00:37,12.9,84.4,10.3,499.0,0.0,0.0,0.0
2025-01-02 00:43,12.9,84.3,10.3,502.0,0.0,0.0,0.0
2025-01-02 00:49,12.8,84.4,10.2,500.0,0.0,0.0,0.0
2025-01-02 00:55,12.8,84.3,10.2,499.0,0.0,0.0,0.0
2025-01-02 01:01,12.8,84.3,10.2,498.0,0.0,0.0,0.0
2025-01-02 01:07,12.8,84.5,10.2,499.0,0.0,0.0,0.0
2025-01-02 01:13,12.8,84.5,10.2,499.0,0.0,0.0,0.0
2025-01-02 01:19,12.8,84.6,10.2,499.0,0.0,0.0,0.0
2025-01-02 01:25,12.8,84.6,10.2,501.0,0.0,0.0,0.0
2025-01-02 01:31,12.7,84.6,10.1,500.0,0.0,0.0,0.0
2025-01-02 01:37,12.7,84.7,10.1,500.0,0.0,0.0,0.0
2025-01-02 01:43,12.7,84.7,10.1,500.0,0.0,0.0,0.0
2025-01-02 01:49,12.7,84.9,10.2,502.0,0.0,0.0,0.0
2025-01-02 01:55,12.6,84.8,10.1,500.0,0.0,0.0,0.0
2025-01-02 02:01,12.6,84.9,10.1,500.0,0.0,0.0,0.0
2025-01-02 02:08,12.6,84.9,10.1,497.0,0.0,0.0,0.0
2025-01-02 02:14,12.6,84.9,10.1,499.0,0.0,0.0,0.0
2025-01-02 02:21,12.6,84.9,10.1,499.0,0.0,0.0,0.0
2025-01-02 02:27,12.6,84.9,10.1,498.0,0.0,0.0,0.0
2025-01-02 02:33,12.5,85.0,10.0,500.0,0.0,0.0,0.0
2025-01-02 02:39,12.5,85.0,10.0,500.0,0.0,0.0,0.0
2025-01-02 02:45,12.4,85.1,9.9,497.0,0.0,0.0,0.0
2025-01-02 02:51,12.4,85.1,9.9,498.0,0.0,0.0,0.0
2025-01-02 02:57,12.4,85.0,9.9,499.0,0.0,0.0,0.0
2025-01-02 03:03,12.4,85.0,9.9,498.0,0.0,0.0,0.0
2025-01-02 03:09,12.4,85.1,9.9,498.0,0.0,0.0,0.0
2025-01-02 03:15,12.3,85.0,9.8,498.0,0.0,0.0,0.0
2025-01-02 03:27,12.3,85.1,9.8,498.0,0.0,0.0,0.0
2025-01-02 03:33,12.2,85.0,9.7,488.0,0.0,0.0,0.0
2025-01-02 03:39,12.2,85.0,9.7,496.0,0.0,0.0,0.0
2025-01-02 03:45,12.1,85.0,9.6,497.0,0.0,0.0,0.0
2025-01-02 03:51,12.1,85.1,9.6,496.0,0.0,0.0,0.0
2025-01-02 03:57,12.1,85.0,9.6,496.0,0.0,0.0,0.0
2025-01-02 04:03,12.0,85.0,9.5,496.0,0.0,0.0,0.0
